Transaction_ID,Customer_ID,Customer_Name,Customer_Email,Gender,Province,Order_Date,Load_Timestamp,Product_Category,Quantity,Unit_Price,Discount_Rate,Transaction_Amount,Expected_Amount,Payment_Method,Order_Status,Is_Promotion,Load_Delay_Hours,Is_Late,Quantity_Was_Invalid,Accuracy_Flag,Order_Status_Is_Invalid,Outlier_Flag_Before_Capping,Order_Date_Was_Imputed
T000127,C0103,Tee Phromla,tee.phromla103@example.com,F,Phuket,2026-06-11,2026-06-11 05:00:00,Sports,3,110.26,0.05,314.24,314.24,PromptPay,Cancelled,N,5.0,False,False,False,False,False,False
T000169,C0138,Mint Dechawat,mint.dechawat138@example.com,M,Khon Kaen,2026-01-24,2026-01-24 01:00:00,Home,3,138.08,0.05,393.53,393.53,PromptPay,Processing,N,1.0,False,False,False,False,False,False
T000003,C0071,Aom Sukjai,aom.sukjai71@example.com,M,Chanthaburi,2026-05-29,2026-05-29 05:00:00,Home,4,263.93,0.0,1055.72,1055.72,Cash on Delivery,Cancelled,N,5.0,False,False,False,False,False,False
T000336,C0152,Tee Dechawat,tee.dechawat152@example.com,M,Chanthaburi,2026-02-01,2026-02-01 18:00:00,Food,6,116.53,0.1,629.26,629.26,Bank Transfer,Returned,N,18.0,False,False,False,False,False,False
T000093,C0090,Mook Sukjai,mook.sukjai90@example.com,M,Chanthaburi,2026-04-18,2026-04-18 13:00:00,Electronics,5,358.35,0.0,1791.75,1791.75,PromptPay,Processing,N,13.0,False,False,False,False,False,False
T000440,C0038,Boss Kittikul,boss.kittikul38@example.com,F,Nakhon Ratchasima,2026-02-23,2026-02-23 05:00:00,Sports,6,142.14,0.0,852.84,852.84,Credit Card,Processing,N,5.0,False,False,False,False,False,False
T000419,C0147,Film Chaiyo,film.chaiyo147@example.com,M,Chiang Mai,2026-06-01,2026-06-01 10:00:00,Fashion,2,334.89,0.0,669.78,669.78,Bank Transfer,Processing,N,10.0,False,False,False,False,False,False
T000307,C0018,Nont Chaiyo,nont.chaiyo18@example.com,M,Phuket,2026-02-06,2026-02-06 13:00:00,Home,4,484.67,0.0,1891.04,1938.68,Bank Transfer,Completed,N,13.0,False,False,True,False,False,False
T000438,C0073,May Lertprasert,may.lertprasert73@example.com,M,Bangkok,2026-02-26,2026-02-26 09:00:00,Sports,6,238.93,0.1,1290.22,1290.22,Bank Transfer,Processing,N,9.0,False,False,False,False,False,False
T000544,C0103,Tee Phromla,tee.phromla103@example.com,F,Phuket,2026-04-25,2026-04-25 03:00:00,Beauty,5,68.77,0.05,326.66,326.66,Bank Transfer,Returned,Y,3.0,False,False,False,False,False,False
T000141,C0116,Boss Wongsa,boss.wongsa116@example.com,F,Chonburi,2026-06-19,2026-06-19 06:00:00,Food,4,98.35,0.0,393.4,393.4,Credit Card,Cancelled,N,0.0,False,False,False,False,False,True
T000476,C0081,Film Srisawat,film.srisawat81@example.com,M,Chonburi,2026-03-20,2026-03-20 09:00:00,Food,4,432.12,0.0,1728.48,1728.48,Bank Transfer,Processing,N,9.0,False,False,False,False,False,False
T000433,C0007,Jane Saelim,jane.saelim7@example.com,M,Chiang Mai,2026-02-11,2026-02-11 17:00:00,Food,6,225.36,0.05,1284.55,1284.55,PromptPay,Processing,Y,17.0,False,False,False,False,False,False
T000589,C0029,Aom Pattanakul,aom.pattanakul29@example.com,F,Bangkok,2026-03-21,2026-03-21 08:00:00,Food,6,131.69,0.05,750.63,750.63,Cash on Delivery,Completed,N,8.0,False,False,False,False,False,False
T000565,C0086,Korn Dechawat,korn.dechawat86@example.com,F,Nakhon Ratchasima,2026-05-26,2026-05-26 10:00:00,Electronics,5,83.16,0.0,415.8,415.8,Credit Card,Returned,N,10.0,False,False,False,False,False,False
T000598,C0060,Tee Maneerat,tee.maneerat60@example.com,M,Rayong,2026-04-07,2026-04-07 10:00:00,Sports,4,486.91,0.05,1850.26,1850.26,Credit Card,Completed,N,10.0,False,False,False,False,False,False
T000277,C0085,Aom Thongdee,aom.thongdee85@example.com,F,Chiang Mai,2026-02-11,2026-02-11 12:00:00,Food,3,282.28,0.05,804.5,804.5,Cash on Delivery,Completed,N,0.0,False,False,False,False,False,True
T000344,C0116,Boss Wongsa,boss.wongsa116@example.com,F,Chonburi,2026-01-14,2026-01-14 07:00:00,Sports,3,202.84,0.0,608.52,608.52,Credit Card,Processing,N,7.0,False,False,False,False,False,False
T000129,C0079,Mook Srisawat,mook.srisawat79@example.com,F,Chanthaburi,2026-04-15,2026-04-15 11:00:00,Electronics,3,105.51,0.1,284.88,284.88,PromptPay,Cancelled,N,11.0,False,False,False,False,False,False
T000044,C0173,Tee Wongsa,tee.wongsa173@example.com,M,Phuket,2026-01-26,2026-01-26 02:00:00,Beauty,5,273.16,0.2,1092.64,1092.64,Cash on Delivery,Completed,N,0.0,False,False,False,False,False,True
T000293,C0076,Pim Phromla,pim.phromla76@example.com,M,Chanthaburi,2026-02-18,2026-02-20 01:00:00,Electronics,6,297.28,0.05,1694.5,1694.5,Bank Transfer,Processing,N,49.0,True,False,False,False,False,False
