order_id,order_date,customer_id,product_id,quantity,unit_price,discount,channel,ordered_at,qty,discount_pct,product_name,category,standard_price,active_flag,full_name,email,province,signup_date,payment_id,payment,paid_at,net_sales
ORD000001,2026-01-08 17:11:00,C0158,P039,2.0,940.5,0.0,Marketplace,,,,Notebook Model 39,Notebook,990.0,N,ลูกค้า 158,customer158@example.com,เชียงใหม่,2024-02-23,PAY000001,"{'method': 'Bank Transfer', 'status': 'PAID'}",2026-01-08 17:30:00,1881.0
ORD000002,2026-01-12 20:13:00,C0123,P038,1.0,12900.0,0.1,Mobile App,,,,Smartphone Model 38,Smartphone,12900.0,N,ลูกค้า 123,customer123@example.com,Rayong,2025-02-26,PAY000002,"{'method': 'Bank Transfer', 'status': 'PAID'}",2026-01-12 22:58:00,11610.0
ORD000003,2026-01-26 14:00:00,C0119,P031,3.0,1415.5,0.05,Web,,,,Smart Home Model 31,Smart Home,1490.0,Y,ลูกค้า 119, customer119@example.com ,ขอนแก่น,2024-12-12,PAY000003,"{'method': 'PromptPay', 'status': 'PAID'}",2026-01-26 14:03:00,4034.1749999999997
ORD000004,2026-01-18 16:18:00,C0065,P003,2.0,25900.0,0.0,Mobile App,,,,Smartphone Model 03,Smartphone,25900.0,Y,ลูกค้า 065,customer065@example.com,ขอนแก่น,2024-06-15,PAY000004,"{'method': 'Bank Transfer', 'status': 'PAID'}",2026-01-18 18:24:00,51800.0
ORD000005,2026-01-08 17:43:00,C0129,P007,2.0,23310.0,0.05,Mobile App,,,,Notebook Model 07,Notebook,25900.0,Y,ลูกค้า 129,customer129@example.com,กทม.,2025-06-03,PAY000005,"{'method': 'Credit Card', 'status': 'PAID'}",2026-01-08 20:03:00,44289.0
ORD000006,2026-01-23 11:50:00,C0097,P037,2.0,27195.0,0.0,Mobile App,,,,Smart Home Model 37,Smart Home,25900.0,Y,ลูกค้า 097,customer097@example.com,Chiang Mai,2024-03-11,PAY000006,"{'method': 'Bank Transfer', 'status': 'PAID'}",2026-01-23 12:37:00,54390.0
ORD000007,2026-01-24 07:03:00,C0139,P001,1.0,284.05,0.0,Web,,,,Notebook Model 01,Notebook,299.0,Y,ลูกค้า 139,customer139@example.com,ระยอง,2024-07-19,PAY000007,"{'method': 'Bank Transfer', 'status': 'PAID'}",2026-01-24 09:09:00,284.05
ORD000008,2026-01-12 16:02:00,C0060,P013,-1.0,523.95,0.05,Mobile App,,,,Smart Home Model 13,Smart Home,499.0,Y,ลูกค้า 060,customer060@example.com,Phuket,2024-10-25,PAY000008,"{'method': 'Bank Transfer', 'status': 'PAID'}",2026-01-12 18:05:00,-497.7525
ORD000009,2026-01-16 04:12:00,C0162,P017,1.0,990.0,0.05,Web,,,,Smartphone Model 17,Smartphone,990.0,Y,,,,,PAY000009,"{'method': 'Bank Transfer', 'status': 'PAID'}",2026-01-16 05:42:00,940.5
ORD000010,2026-01-07 03:12:00,C0100,P017,2.0,990.0,0.1,Mobile App,,,,Smartphone Model 17,Smartphone,990.0,Y,ลูกค้า 100,customer100@example.com,กรุงเทพมหานคร,2025-04-14,PAY000010,"{'method': 'Bank Transfer', 'status': 'PAID'}",2026-01-07 04:36:00,1782.0
ORD000011,2026-01-12 14:34:00,C0120,P028,2.0,313.95,0.0,Web,,,,Smartphone Model 28,Smartphone,299.0,Y,ลูกค้า 120,customer120@example.com,ขอนแก่น,2025-09-17,PAY000011,"{'method': 'Credit Card', 'status': 'PAID'}",2026-01-12 16:27:00,627.9
ORD000012,2026-01-08 22:35:00,C0141,P008,2.0,449.1,0.05,Marketplace,,,,Accessory Model 08,Accessory,499.0,Y,ลูกค้า 141,customer141@example.com,Bangkok,2025-07-05,PAY000012,"{'method': 'Bank Transfer', 'status': 'PAID'}",2026-01-08 23:43:00,853.29
ORD000013,2026-01-27 22:41:00,C0110,P002,2.0,1341.0,0.0,Mobile App,,,,Smartphone Model 02,Smartphone,1490.0,Y,ลูกค้า 110,customer110@example.com,Chiang Mai,2025-11-25,PAY000013,"{'method': 'Bank Transfer', 'status': 'PAID'}",2026-01-28 01:23:00,2682.0
ORD000014,2026-01-20 07:11:00,C0142,P017,4.0,990.0,0.0,Marketplace,,,,Smartphone Model 17,Smartphone,990.0,Y,ลูกค้า 142,customer142@example.com,Chonburi,2025-10-22,PAY000014,"{'method': 'Credit Card', 'status': 'PAID'}",2026-01-20 09:42:00,3960.0
ORD000015,2026-01-04 13:47:00,C0151,P018,2.0,4189.5,0.0,Web,,,,Smartphone Model 18,Smartphone,3990.0,Y,ลูกค้า 151,customer151@example.com,Chonburi,2024-10-15,PAY000015,"{'method': 'Bank Transfer', 'status': 'PAID'}",2026-01-04 15:28:00,8379.0
ORD000016,2026-01-18 06:47:00,C0072,P006,1.0,313.95,0.0,Mobile App,,,,Accessory Model 06,Accessory,299.0,Y,ลูกค้า 072,customer072@example.com,เชียงใหม่,2024-04-28,PAY000016,"{'method': 'Bank Transfer', 'status': 'PAID'}",2026-01-18 07:49:00,313.95
ORD000017,2026-01-27 00:37:00,C0048,P019,2.0,3591.0,0.0,Mobile App,,,,Smartphone Model 19,Smartphone,3990.0,Y,ลูกค้า 048,customer048@example.com,กทม.,2024-09-09,PAY000017,"{'method': 'Bank Transfer', 'status': 'PAID'}",2026-01-27 03:19:00,7182.0
ORD000018,2026-01-05 02:59:00,C0037,P001,3.0,299.0,0.0,Marketplace,,,,Notebook Model 01,Notebook,299.0,Y,ลูกค้า 037,customer037@example.com,ภูเก็ต,2025-07-06,PAY000018,"{'method': 'Bank Transfer', 'status': 'PAID'}",2026-01-05 03:24:00,897.0
ORD000019,2026-01-14 22:23:00,C0159,P019,1.0,4189.5,0.1,Web,,,,Smartphone Model 19,Smartphone,3990.0,Y,ลูกค้า 159,customer159@example.com,Phuket,2025-08-26,PAY000019,"{'method': 'PromptPay', 'status': 'PAID'}",2026-01-15 00:15:00,3770.55
ORD000020,2026-01-08 21:53:00,C0115,P007,1.0,25900.0,0.0,Web,,,,Notebook Model 07,Notebook,25900.0,Y,ลูกค้า 115,customer115@example.com,Rayong,2024-02-01,PAY000020,"{'method': 'Credit Card', 'status': 'PAID'}",2026-01-08 22:34:00,25900.0
ORD000021,2026-01-18 02:04:00,C0007,P007,1.0,27195.0,0.05,Web,,,,Notebook Model 07,Notebook,25900.0,Y,ลูกค้า 007,customer007@example.com,Bangkok,2025-09-27,PAY000021,"{'method': 'Bank Transfer', 'status': 'PAID'}",2026-01-18 03:13:00,25835.25
ORD000022,2026-01-15 07:54:00,C0049,P999,2.0,499.0,0.0,Marketplace,,,,,,,,ลูกค้า 049,customer049@example.com,Rayong,2025-10-04,PAY000022,"{'method': 'Credit Card', 'status': 'PAID'}",2026-01-15 10:27:00,998.0
ORD000023,2026-01-10 02:59:00,C0071,P034,1.0,299.0,0.1,Web,,,,Accessory Model 34,Accessory,299.0,Y,ลูกค้า 071,customer071@example.com,ชลบุรี,2024-03-26,PAY000023,"{'method': 'Bank Transfer', 'status': 'FAILED'}",2026-01-10 03:29:00,269.1
